,review
2220,Loved the aesthetic of the apartment! Looked very homely and everything we needed was there! 10/10
2221,Everything was great.  Fantastic location only issue was the shower very difficult to get the right temperature either boiling or freezing..
2222,"The property was nice and in a great location, however it is advertised as non smoking but the place was smelling strongly of smoke throughout to the point that we could not sit in the living room area without our clothes smelling and making us feel nauseous."
2223,We highlighted the issue to the company by email and spoke with a representative but nothing was done about it.
2224,Nice place. It was clean and had a full kitchen
2225,"This is not an inn as the name suggests. This is just an apartment. So you can't leave your bags before or after checkin and you cant check in whenever you like. 
The sofa bed is not a feasible place to sleep. There is no mattress in it. You just sleep on the hard cushions. After waking up with back problems on the first night, we bought the cheapest air mattress we could find and it was infinitely more comfortable. You hear noise from the street and there are no windows to open when it gets hot"
2226,The lights and sofa
2227,"No welcome tea/coffee/milk
No explanation where bedding was or how to open sofa bed
No instructions for tv
No instructions for checking out"
2228,It was clean and close to the area we wanted to stay in.
2229,"The extra sofa bed was very uncomfortable. The extra towels we asked for days in advance, were not there plus when we did get them, they were new and not washed (labels still on them)"
2230,"It was right in the centre of grand canal, close to restaurants and bars. The apartment was nice and bright"
2231,"Initially we booked another apartment in the same area, however we were contacted a month before to advise that the apartment was now unavailable and that we would be moved to a different location. We requested this apartment as it was in the right area. It was €100 less but we were informed that no refund would be provided. We were met by a representative a little early as requested due to bad weather but the apartment hadn’t been cleaned when we were let in. It was actual a mess and the rep shrugged his shoulders and stated that he was doing us a favour. Not much of a favour and certainly not professional... we asked how to use the heating, that seemed to be an issue as he was obviously in a hurry ... we left and had to walk around the area trying to avoid the storm until the apartment was ready. It was not that massive an issue but the reps attitude was appalling. This continued on check out when he wouldn’t come to pick up the keys or inspect the apartment. Again not very professional. We also could not get through to our point of contact who stated that we could only lease via what’sapp which was a bit disappointing. On the apartment it is nice but a bit run down so while luxury doesn’t quite equate it is pleasant. Just to reiterate the big problem here is the management of the property, just didn’t care"
2232,"The location was amazing, the staff were so nice and welcoming, and we really appreciated the nice touches to the room. Great value for money above all else - will definitely stay again!"
2233,Apartment was fresh and clean. Lots of space. Two large double bedrooms and smaller single. Comfy sofa. All appliances new. Bus stop adjacent to the apartment to travel in/out of the city. Check in was online and key collection via a key lock device therefore no need to collect keys elsewhere. Queries were responded to quickly. Videos sent to inform renter about aspects of the apartment/ key collection which were useful. A hard copy welcome folder would be useful though re bus routes and local attractions/food outlets/ shopping. Flat was warm when we arrived and lots of hot water. Overall a comfortable apartment with the basics you need.
2234,"Parking available but no dipped kerb outside the apartment, therefore not great for the car bumping it up/down the high kerb. Heavy traffic noise but I knew this when booking. Train passes right behind the apartment so be aware if you are a light sleeper. Apartment accessed by one short flight of stairs. Stairwell a bit musty. Some basic things missing from the apartment which would be easy to remedy e.g. bed side lamps, towel rail in bathroom, shelf above wash hand basin or a freestanding unit in bathroom, clothes drier (although there is a washer -dryer). Also the cold tap in the bathroom does not work (we didn't report it at the time so I am sure that could be fixed). My daughter complained that the smaller double bed was uncomfortable. Lastly, one of the remotes for the TV was not working but apart from that there were not enough socket points in that corner to watch the TV without unplugging something else, such as the WiFi."
2235,"Pillows were very small, needed a few more things in kitchen like small plates and spatula, most things were there"
2236,No plaque that the many missionaries who were trained here did not only do good. I expect this awareness for a university.
2237,"Beautifully clean, staff are wonderful. Thankyou to Luiza who made our stay extra special."
2238,There are no comments available for this review
2239,"Spacious, very close facilities, cosy, was great money for the quality of the stay"
2240,Clean. Comfy
2241,nothing
2242,helpful friendly staff. very clean modern hotel
2243,There are no comments available for this review
2244,There are no comments available for this review
2245,There are no comments available for this review
2246,"Excellent location, great restaurante and nice staff!!"
2247,nothing
2248,Breakfast OK....food could have been warmer
2249,Music in the lounge was far too loud when dj was there to after 9pm. Impossible to have a conversation and choice of music aeful
2250,plan and simple
2251,not value for the money
2252,Lovely staff. Very nice room. Superb shower. Had everything you could think of. Very good value.
2253,Tiny thing. Some additional bath towels would be appreciated.
2254,"Food, Drink and staff are lovely"
2255,The shower water was only luke warm
2256,Location is fantastic - particularly when staying for concerts in the Three Arena
2257,"The staff
Big room
Very clean 
Quiet location"
2258,"really friendly helpful staff, amazing hotel which is superb for music fans, and clean comfy hotel rooms"
2259,The pool was more for exercising than relaxing. We only went once and there were mostly men who kept staring at us and that made us feel uncomfortable. It was also quite busy.
2260,The staff were super attentive and friendly
2261,Good services and hosts. Hotel is well located !
2262,Breakfast is not included and need additionnal fees.
2263,Large rooms by European standards. Kind size bed was very comfortable and nice balcony area. Lots of construction going on in the area so quite noisy early in the morning but that will obviously be a short-term issue. Nice touches such as slippers and gowns available and lovely bar area in the hotel. Close to trams so easy to get around.
2264,Corridor areas are quite tired and could do with new carpeting and a refresh. Only one elevator was working so took some time to get up/down when the hotel was busy.
2265,It was exactly what we were looking and expecting for. The room was clean and the beds were confortable. Great stay. Thanks again.
2266,a very nice and comfy room..the owner and the daughter is very accommodating.. location is good .
2267,"Julie was very friendly, welcoming, and helpful. She is a great host and I'm happy I got to meet her."
2268,Nothing
2269,nothing
2270,"A clean and bright small house. All the utilities worked well. Furniture was minimal, but looked new. Location was excellent for us, as it is close to relatives. For any family staying, the property is in a small, tidy development that seems well-established and secure. It was great to have parking, though don’t bring a wider car! Shay was good at communicating through email"
2271,"I’d suggest a few more “home-like” touches, as the walls are mostly bare. The one book that was there was great, btw! The appliances in the kitchen looked great, but a couple of instruction sheets might help - we couldn’t get the moka coffee maker to work on the induction stove top. First world problems, I suppose!"
2272,"Hot water service not operating. However, host was very helpful and sorted out the problem quickly"
2273,The house was conveniently located in a quiet neighborhood. We drove from the airport to the property in a rental car and used the bus to go to and from the city centre (3 day Leap Visitor Card). The bus stop was an 8 minute walk from the house and there was a convenience store/ fuel station located between the house and the bus stop. Using the bus saved us from driving to and parking in the city center. We could buy pretty much everything we needed at the store. The house is a perfect location for those who want a place to land after the city centre scene.
2274,"The house is a work in progress. It is clean and has two bedrooms with a bathroom. The house is missing some of the homey touches - lamp shades, art work, curtains, bathroom towel hooks, and ventilator fans.... The beds are most suitable for a close couple or small children. It is not possible to sleep on the sofa."
2275,"The location was nice a quiet, taxi was a bit expensive to get to city center and back but the cost of staying in the city center was also prohibitive.  Well kept property and at the end of a cul-de-sac."
2276,"The beds were very uncomfortable, new mattresses or at least a good mattress pad would have helped.  The bedsprings were very noticeable.  Instructions on using the stovetop, the washer and the shower would have been very helpful.  I binder is always nice to refer to when you are staying in a private property."
2277,modern clean great for a long weekend
2278,Good checkout time
2279,didn’t have a hot tub :/
2280,THE HOTEL HAS VERY HAPPY MEMORIES FOR ME AND MY FAMILY. WE HAD MY MY MUM' 80TH BIRTHDAY CELEBRATION HERE IN 2014. PERFECT LOCATION AND WONDERFUL ATMOSPHERE. GREAT BREAKFAST AND A LOVELY WAITRESS CALLED HELENA WHO IS JUST THE BEST.
2281,"The Georgian style, the nice view of the garden and the cleanness. The peaceful, calm environment and the lights at night. I felt safe."
2282,The constant  changing of the  guests in the other rooms of my apartment. It was a bit of a fearful exoerience as a solo visitor for 12 nights.
2283,"Brilliant accommodation for the price - especially because you are so central and well connected with public transport. Yes, the apartments are shared - we didn't see our flatmate but had pleasant conversations with other house guests. Breakfast was standard ""student cuisine"" and absolutely fine for the price. The giant scones were particularly delicious. Check-in was very helpful for all questions we had, the option to leave luggage at the cafe is useful and it was lovely even just walking around the campus."
2284,"Great location, the centre of Dublin. Just what you'd expect from a student accommodation room, with good addition of daily cleaning and housekeeping"
2285,Unfortunately my room was immediately adjacent to some building work (rhis was in the summer) so a very loud generator and equipment was in action  during working hours. The courtyard was also quite noisy at night but this was not unexpected. The key fobs are a bit inconsistent and easily deactivate themselves if kept near phones.
2286,"Student accommodation so bound to be basic, but was perfectly clean, with kitchen facilities and the cafe breakfast was excellent.Perfect location for a fraction of the price of some of the luxury hotels."
2287,"I like the location, the beds and facilities were decency enough. Breakfast was good, staff were friendly"
2288,Nothing
2289,"The atmosphere on campus is wonderful. Staying in the middle of Dublin is great. The room with carpet, armchair and lots of wooden furniture was very comfortable. The setting was astonishingly quiet."
2290,"The bathroom was tiny and old, but spotlessly clean.The first two rooms we were offered were horrible and noisy, thanks to the housing/welcome office we got something better."
2291,"The whole place is lovely, room in old building  with a nice aspect"
2292,The directions for drivers are terrible and can easily be improved as are the directions for actually finding the room - poor mapping all round.
2293,location was excellent.  cafeteria was good and well priced.  Staff friendly.
2294,"Room was a bit too spartan for me, but perhaps I could have booked something better."
2295,"The location was great, right in the heart of town. Room was clean and comfortable. Shared bathroom was not a great issue. I hardly saw anyone else."
2296,"Locating my room was a bit of an issue, also the corridor was dark and I could not see where the light switches were. Once I knew, no issues."
2297,Can't expect much for that price
2298,I asked for a ground floor room as I am rather old. I had steps to negotiate then stairs to 1st floor room
2299,"Great place, friendly staff, very clean premises. For the price, this is a great place for a short stay!It was also important for me to be able to come and go at any time of the day."
2300,"Looks like it's time for a little facelift in the rooms (the carpet, walls and bathroom equipment are already visibly worn out)"
2301,"The room was very comfortable indeed and quiet and peace full to be honest, the host is very friendly. Gives the feeling that He will bend over backwards if you need assistance with anything he can help with. Highly recommended. Definitely would be back there to stay again north side. 
I had important documents to be printed which were hand delivered to the door and there were basics in the fridge included also."
2302,"If you want to feel the spirit of Dublin city of past century, you should visit this property. The room is normal size, with everything you might need, including converter plug. You would be able to find everything for self cuttering. Host is very responsive and always reddy to help you.The bathroom is small but comfortable."
2303,Cleaning service may be a bit better
2304,Leo was GREAT!
2305,"Excellent value for money. Very comfortable bed and good facilities to store and heat up meals ourselves during stay. A very short bus journey to town centre and on excellent, frequent bus service to explore Dublin and surrounding areas. Tea, coffee, milk, juice and biscuits all provided. Leo kindly stored our luggage for us so we could explore Dublin without having to cart it around with us."
2306,As noted by others shower room is small but didn't cause us an issue. Plenty space and large mirrors to get ready in bright bedroom.
2307,Good central location friendly welcoming staff food and drink excellent overall good value for the money
2308,"Very nice host and comfortable beds. We liked the window in the bathroom and the location of the apartment in a beautiful alley close to the botanical gardens. The host gave us some good recommendations for dinner and breakfast and was always there for help or a nice talk.We had a nespresso machine and he had equipped the room with everything one could need, like milk and orange juice, coffee, electrical plugs and little snacks! Very nice!"
2309,"The bathroom was a little small but fits everything needed. At night it was a little loud because it is an old building, so make sure to pack some ear plugs, then it should be fine."
2310,It was a wonderful place to live in along with the best services. Location is easily accessible . The host is a very good human.
2311,Nothing to complain
2312,Everything was very  nice. Highly recommended ðŸ˜Š
2313,Excellent place .Leo was very kind and helpful
2314,Handy location as it was on main bus route.  The host was very friendly.
2315,Very tiny and old fashioned room with very basic facilities.  The bathroom was extremely small and difficult to move around.
2316,Such a nice and cosy place to stay and the host Leo was really nice and helped us when needed
2317,Great value and free parking which is great for college. My class was literally around the corner. Rooms are huge and really warm. Beds are really comfy and not too much noise around at all.
2318,The beds are comfortable and the bathroom was clean. Hairdryer provided at request. The area is quiet.
2319,It was comfortable and convenient for the city centre. Very helpful friendly staff and  the room was quiet. It was at the back so we couldn't hear the traffic. Generous full Irish breakfast.  Very enjoyable stay.
2320,Quiet and comfortable
2321,"Checking in difficult,  reception closed. Was aware of this as propty had called me twice to explain the procedure.  Gate's locked from 11pm, so if later needed to walk around the building from carpark"
2322,"Good location for airport, room was clean and mostly comfortable"
2323,"Uni students don't sleep. I stayed a Wednesday night and I could hear  ppl.partying, at different levels, all night.  Made it very difficult to get a decent sleep"
2324,Handy location for early flight. We got it at a good price and 15 mins from city and airport. Great spot
2325,If you check out early there may be no one around. We just had to leave to key into security
2326,"Comfortable bed, clean, lounge area, free wifi"
2327,"Loud at 1am, check in after 8 is with security, very thin walls, shower overflowed. It's cheap for Dublin but still so expensive for what you get."
2328,"I didn't take breakfast, but the location was peaceful, and not too far from necessary amenities. I also like the free parking The apartment is well maintained, and the security is good. I recommend it to other travellers."
2329,Nothing
2330,"There was a kettle and tea bags/coffee sachets but there only a few, they could have been a bit more generous.."
2331,Clean free parking
2332,Close to airport
2333,"Hot, window could only be opened 4 inches, no fan available"
2334,"Given the fact it is student accommodation, it was above my expectation, lovely staff and great coffee bar, it's a step up from a hostel, reminded me of my own university days on campus, lovely grounds to walk around also."
2335,"Nothing, perfect for price and location."
2336,Room was very comfortable & clean
2337,Would have liked a coffee shop on the campus
2338,Citybreak apartments are always great to stay in. super clean. Nice safe areas close to everything. Highly recommend.
2339,nothing
2340,"Excellent location, budget friendly and clean. Very close to the Dublin Airport Express bus route stop. Exactly what you see in the photos is what you can expect."
2341,"It was a very good apartment located in a great area. Lots of food and drinks options outside, with nearby convenience stores for groceries if you need it. The apartment had complete items you'd need for the kitchen and even had a sitting area for meals."
2342,"We travelled with a toddler so it was difficult for us to run up and down the stairs until the 3rd floor. We also asked for a baby cot right from the booking, which they immediately confirmed will be placed in the room. We checked this while checking in also and the receptionist confirmed, however, the cot wasn't there when we got to the apartment (keys need to be taken from an entirely different neighbourhood, btw). We had to wait for about 3 hours for the cot, and that was very unfortunate after a long travel day with a toddler who was very tired."
2343,1. The location of the apartment is very central. 2. the apartment itself is very clean and modern.
2344,"1. The hassle to have to pick up the keys in the other side of the town.2. Water pressure in the shower is weak3. The neighbours upstairs have a VERY loud floor, you can hear them a lot. I woke up early in the morning because I thought that someone is banging on our door, but it was just the neighbours upstairs. It didn't help that their children were running around all the time."
2345,"The bed was comfortable, tv was big with loads of channels to choose from, the shower was very good, the kitchen was fully equipped including a washing machine. Overall our stay was cosy and pleasant."
2346,"Room was a bit small was expecting it to be bigger like the photos, nicer upgrade for the kitchen would be a microwave."
2347,- Room was well equipped. Small but everything was in place- Everything was clean- Perfect location for my purposes- In general I am happy with the stay
2348,- Photos were showing different room than the one I got- You have to collect keys in a different part of Dublin (Dublin 1 neat the Spire)- A bit funny smell in the room
2349,"APARTMENT ON 3RD FLOOR AND NO LIFT, VERY NOISY AT NIGHT, VERY SMALL APARTMENT, BED SOLID TO SLEEP ON AND GAVE ME VERY SORE HIPS, TV POSITIONED SO HIGH ON WALL IT GIVES YOU A NECK ACHE WATCHING IT! SOFA STAINED."
2350,In general not much. The rooms and furniture might be getting slightly old but this isn't a big deal.
2351,Ok but you can hear person walking above bit noisy
2352,"Everything.  We loved everything about The Green: location, room, bed, shower pressure, staff.  Incredible comfort."
2353,location
2354,"very very cold in the room . 
if the heating system is that poor extra blankets should be provided"
2355,Buffet breakfast lacked taste.
2356,"We chose this hotel because of its location, it's right in the center at walking distance to the main Dublin attractions, buses, and tram.The decoration of the common areas is stunning, very tasteful. Room is big enough, cosy, bathroom is beautiful.The staff at the reception is very friendly, polite, helpful and speak other European languages."
2357,"It was great but we were very disappointed because they advertised live entertainment every night, and there was none. So really that was our only complaint"
2358,"Poor breakfast.The extra bed was very uncomfortable.The curtains were transparent, so there was too much light in the room during the night and early morning which ruined my sleep."
2359,"Great hotel, the location is perfect for à WE in Dublin."
2360,Hotel personnel not really on point when we asked questions.
2361,"The location is excellent, the Hotel was great, the room was superb, very comfortable."
2362,Nothing!
2363,not being able to pay cash in the hotel bar
2364,Loved this hotel. Beautiful room and bathroom. Great location for shopping and restaurants.
2365,Nothing.
2366,"Welcomed by smiling staff, we went to our room which was absolutely spotless and so comfortable - it also had some luxuries we hadn’t expected!"
2367,"Excelent location, comfortable beds"
2368,great Location threat staff
2369,nothing
2370,"Everything was brilliant, amazing beautiful accommodation. Huge Gregorian Palace became into different cozy comfortable apartments all equipped with new stuff - brand new restrooms and kitchen."
2371,We expected better location otherwise it was 15 min walk from Spire Dublin O'Connell Street. Everything was great.
2372,owner very friendly and the property very clean and comfortable
2373,only 1 bathroom
2374,"The apartments are very spacious, very well equipped and very very comfortable.   The Kings Inn on the corner is a little gem."
2375,"the location, character, space and  quality"
2376,nothing
2377,"No power supply next to the bed, the pillows are not as comfortable as the beds"
2378,Place is great in all respects.
2379,There was a party going on our first night until 6 in the morning which meant we got no sleep on our first nights stay.  Not the ream's fault and they handled the problem very professionally when we explained what had happened..however it did impact our stay as we were exhausted on our on full day in Dublin.
2380,"it’s a beautifully renovated house, the appartment was clean, well equipped and very spacious. 
The location was ideal - access to local shops & walking distance to Temple bar. 
The host was amenable and the staff responded to our requests efficiently."
2381,"very good communication and service. Beautiful building and appartment. well maintained, great beds and bathrooms."
2382,"Stunning accommodation, very spacious. Parking was no problem."
2383,Nothing
2384,"a stunning and spectacular piece of history.  clean, beautiful, large rooms. towering ceilings. wonderful, pleasant staff."
2385,Beautiful apartment inna historic building. Very quiet and comfortable with all amenities needed. Will book again
2386,This isn’t a negative but we were on fifth floor with no lift. Travelled with 80 year old who struggled. Was unaware of the stairs but that might of been my oversight.
2387,"Beggars Bush was a great location. Pretty quiet, but near plenty of pubs and restaurants and a nice walk to the city center. The room and bathroom were very clean and the staff were extremely kind and helpful. Would definitely recommend!"
2388,"location was perfect right in the city centre
opposite the Liffey and walkable to most attractions"
2389,"The staff are all very friendly and pleasant with guests and also to each other - there is clear positive energy between the members of staff and a really good feeling in the place as a whole. The rooms are very clean, especially the bathroom."
2390,"The bed head is not attached to the bed, which was a bit weird."
2391,"Location was great, right by pubs and food places."
2392,Good location
2393,High price
2394,"Rooms were clean, and every day they were cleaned. The breakfast was nice and nourishing. The breakfast room was cozy and we felt ourselves as being at home. The personnel were kind and helpful. It is very warm in the hotel. We were lucky with the weather and didn't use the heating. The bathroom was very clean and shiny. There were sounds from other rooms but it depends on the building construction. The hotel is situated in the close area to the center. Just take a bus and in 10-15 minutes here you are in the center. The location is quite good. There are lots of pubs next to the hotel, Tesco and good restaurants (as Yoi - japanese one that we recommend very much)"
2395,"Dear guests! Never ask for booking a taxi without knowing the exact price. We were faced with a very disappointing experience when a receptionist (Czech woman) offered us to take a taxi to the airport. She wanted to be helpful and probably didn't know the price. We were told that it must have been as usual approximately 22-25€. I do not know the company she ordered but the driver changed the price for 47€ on the way to airport. In the car we noticed that the driver had got a rating 1 (!!!!). Lately we understood why.
I ask the personnel to help guests to know the price in advance  and, please, l ask the personnel not to use this taxi company anymore"
2396,"The location of Waterloo Lodge is great. Check in and put process was easy and efficient. I had a large spacious room that was very comfortable. The shower was great and the room rate was good value for Dublin, would stay again :-)"
2397,The location of my room was in lower ground floor so there was little natural light and have to walk through the breakfast room to get to room. Given the building is old the floorboards creak so I could hear the ceiling squeak from other guests walking on the floor above me
2398,The location is perfect for attending embassies in the area and an easy bus ride from Hueston Train Station. The price is reasonable considering Dublin is a complete rip-off. The building itself is acceptably clean with powerful and warm showers. The beds were very comfortable and the lenin was clean.
2399,nothing
2400,"The receptionist spoke good English, but couldn't listen to a word of what I requested which is really frustrating. The rooms are tiny if you prefer a little space and although advertised, there is no breakfast."
2401,"Clean, location, good breakfast, comfortable."
2402,"It was like a sauna, the heating was very high in the whole hotel for the duration of the stay. My shower was slightly faulty and power would drop every few minutes for about 30 seconds."
2403,Although the room.was not very spacious it was comfortable and clean.
2404,The breakfast info were a nit confusing
2405,"One of the best places I have ever been so far!!! Guys really took good care of myself, customer service is unbelievably good, room was literally my idea of heaven... the man in charge (owner or a manager) had an awesome sense of humor and was very friendly :) ... thank you for everything, see you all next time x"
2406,"I enjoyed a quiet stay on a layover during an exceptionally long journey (Tokyo to Glasgow!). The staff were very friendly, helpful and good-humoured. The hotel has a lovely sense of personality."
2407,"My bathroom was a little bit grubby, but I would not be prepared to complain at this price. I had meant to mention to a member of staff that there was quite a lot of mould on my window - this is more serious and I do think it is something that should be fixed."
2408,they close 6th Feb.2023
2409,"They don't answer the phone. We left early in the morning so we missed breakfast. It would me nice if they could prepare breakfast to take away, such as sandwiches or biscuits."
2410,"Location , bar"
2411,"It was very cozy and all of the staff were very friendly! The cafe downstairs was excellent!! It was also close to the tram line and bus stops so it was easy to get to the city center. Overall, this hotel was a great value for the price."
2412,Light shining into room from side window
2413,Location was good and staff were amazing.
2414,The thin walls
2415,Stuff helpful loved the vintage furniture or decoration.
2416,Smoking facilities
2417,staff were lovely and accommodating. the beds were comfortable
2418,Staff was friendly.Made their best for my comfort.
2419,"Breakfast average, condition of property tired"
2420,"unfortunately, my room had a problems with the shower, not enought pressure and very difficult to take a shower.But the staff tried their best to repair it."
2421,I had hoped for a double bed but got 2 single
2422,It was not really clear that we had to collect the keys from a location 20 minutes on bus away from the actual apartment. We came from the UK so it was okay but it would not be a fun journey if you were coming from far.
2423,"Only the collection of the keys were not up to satisfaction, everything else was okay. Beds were comfortable, however kitchen doesn't have basics like salt or pepper so cooking was difficult. Hot water took a long time and cooled down really quick as well."
2424,"I haven't access to kitchen stuff to help me there, and TV didn´t work."
2425,"I miss the breakfast, was not reminded of the time and place"
2426,Good location. Staff were so helpful and friendly. Everything walkable distance.
2427,everything was great. loved the rooms so tasteful spacious and comfortable
2428,"Friendly, helpful reception staff, Manager on duty Chloe couldn't have been more helpful, room spotless, central location, excellent breakfast & dinner options. Have stayed here before & we'll definitely be back in the future."
2429,Had a lovely breakfast thanks to the lovely Chloe. It’s a hidden gem
2430,Had no issues as always
2431,"When we arrived at the hotel we asked if we could leave our luggage as we were arrived prior to check in but to our pleasant surprise our room was ready early which was perfect as we could quickly freshen up before going out to explore. When we checked out we also had the option to leave our luggage before making our journey home which let us squeeze some last minute exploring before catching our flight back. Rooms were lovely and clean and although we never dined in the restaurant the food smelled lovely! Ideal location, would definitely return!"
2432,Did not realise it was above a pub. Very noisy & had to purchase ear plugs to sleep. Other than the noise level everything else was fine!
2433,We were welcomed by very friendly and helpful staff who kindly let us check in early as we had a wedding that day. Breakfast was amazing! Room was extremely comfy and clean. Loads of cleaning staff who were also very friendly. Can’t wait to come back! Thank you
2434,everything was great plus the staff
2435,"Location was great, walking distance to everything, pool was a decent size in the spa."
2436,warm welcoming good location
2437,nothing
2438,Room was lovely and swimming pool was great
2439,The hotel is in a good location with excellent transport links. The rooms were comfortable and very clean and the staff were very friendly and pleasant. The breakfast was the best I have ever had in a hotel and the bar food was similarly excellent.
2440,Nothing
2441,"The apartment was very clean and in a great location.  Paul was very responsive any time we had a question and was also very flexible with our check in. We ended up wanting to check in a few hours earlier than planned the day of and he very promptly made sure everything was ready for us.  He also helped us find parking and gave a bunch of suggestions on things to do. 
Everything was great and worked well.  Wifi was good, bed was comfortable.  It’s a bit loud at night with street noise, but to be expected staying in the center of Dublin.  This was a great spot to explore the city from.  Will come back to stay again."
2442,Good location
2443,"it’s well located, in the center of the city. the staff was very friendly and helpful."
2444,"We all found it a bit cold in the apartment at night,with only light duvets supplied.could have done with extra blankets.Very noisy on the road/street but that is to be expected for its location."
2445,"Very good location and excellent value for money. Both the bed and sofa were comfortable. It is on a busy street but we didn't feel disturbed in the night. The owner was communicative, gave good tips."
2446,"Nice location, the kitchen is great, the bed was quite comfortable as well"
2447,"Location is the top advantage for the apartment. It is basically very near to most of the notable places and hot spots. It is also accessible with a stroller.
The apartment is no luxury, but I think its facilities match the price."
2448,"It is noisy, yet you can't expect something different in the center of Dublin."
2449,"Good location, very convenient from the airport and getting to the main areas to travel out of Dublin or even within Dublin"
2450,Loud traffic noise because the apartment is located right beside the road. The sofa bed was not too comfortable
2451,10min to city center by walk. Great location. Easy to find. Window view to city monuments. Market is near up to the street. Very comfortable bed/couch. Kitchen has all basic equipment. Even EU cable plugs are for charging. We were suggested for late check out!
2452,"Apartments were cold, but there were radiators. Street is really noisy at day/night and it's passing throught the windows. Need an additional studing for understanding how the bathroom taps works :)"
2453,"Great location, very clean place with everything you need for a short or long stay"
2454,it’s been very noisy. I was at the 1st floor above a bar..
2455,Great location and great beds! Really sweet host
2456,"very nice place right in the heart of everything, Guinness store house, Jameson distillery and Christ church cathedral."
2457,"Good staff, bed comfortable, good facilities"
2458,"Style and feel, staff & facilities"
2459,"Beds were very comfortable, shower pressure was very good."
2460,"No parking is provided. You've to either park on the quays or a near by carpark, which can be very expensive."
2461,the walls in the bedrooms were very grubby and dirty.
2462,the location was perfect for going to a concert.
2463,great location
2464,"Good location, and the staff were very friendly and welcoming."
2465,"nice decor, comfy beds, great bar and morning breakfasts"
2466,"the bathroom, no room at all to put any cosmetics on the washbasin area, remote not working had to ask 3 times for a new one, no robes in the room to go down to power again had to ask twice for them!"
2467,Facilities in the room - Dyson hairdryer and Nespresso machine
2468,Leisure club was unfortunately under maintenance the morning following our stay when we'd planned to go
2469,very small room for the price charged
2470,"The location is perfect if you are going to the 3arena and is close to public transport. 
6 euro for a taxi from Busaras either.
Lovely room and bathroom was gorgeous"
2471,"Room service was a little disappointing and we noticed the next morning as we made the bed that the sheets had obviously not been changed as they were stained with fake tan and what I can only hope was chocolate. 
Room was a bit cold as door to balcony wouldn't close properly."
2472,Great location with all the amenities needed for a short stay.
2473,"The property was dated, the shower pressure was terrible, and the taps in the bathroom were push taps that didn’t stay on. The room was freezing upon arrival until we worked out how to turn on the radiator. Just be aware that the property is above a bar that plays loud music until midnight-ish, and this can be heard from the rooms (we were on the top floor)."
2474,"This flat was great value for money - very comfortable and secure - location is the key - you don't need any taxi, etc - take no 16 bus from zone 15 airport  - very close to the city center - amenities, etc on door front -"
2475,Bed a bit lumpy
2476,There are no comments available for this review
2477,There are no comments available for this review
2478,There are no comments available for this review
2479,Lovely cooked breakfast
2480,"comfortable room, great shower. live music downstairs."
2481,"Could have been a bit warmer, and need a hairdryer."
2482,The staff was incredibly friendly and welcoming. I also really liked the area (Drumcondra).
2483,The food was tasty and plentiful but the bestpart was the friendly and helpful staff
2484,Parking hard to find
2485,"Leroy, the manager went above and beyond to ensure I was well taken care of at all times. I couldn't recommend the place highly enough."
2486,"Nice staff, easy transit"
2487,"Everything was nice, I specially appreciate to stay the floor above the pub (a really nice one with live music). Staff was really friendly.
Definitely clean and tidy."
2488,The location it is not so close to city centre and you need to catch bus to reach the centre and coming back (anyway services are available even at late evening).
2489,Clean and in the town centre
2490,Location is perfect for airport
2491,"No parking, I had to find a parking spot 3 streets up and didn’t feel comfortable with this"
2492,"Easy to get here from the airport, so if you are staying in Dublin just for one night as I did Kennedy’s a great choice far from the crowded center.
Clean room, there is 24/7 cafe in front of the place if you need midnight snack."
2493,"A bit noisy (which is obvious as there pub on the ground floor), and you could see the light coming from the corridor when someone is walking there."
2494,"The location with many buses to the city center.
Clean room. Very friendly staff."
2495,This is a B&B above a pub with live music until 1 am. So it is a bit noisy. The price was a bit high for what you get even if Dublin is expensive.
2496,Friendly staff. Locts of public transport options nearby. Clean rooms.
2497,The room is located right above the bar where live music was playing. Ear plugs didn't help. I.e. it's noisy!
2498,We liked that this location was literally a few minutes walk to kings cross. Also the room had a separate entrance and also it’s own bathroom
2499,Everything
2500,they stuck me in attic the rooms went up to 104 I was in 103 four floors up and no lift I'm 70 and them stairs nearly killed me
2501,Nothing
2502,It is close to the city center and a surprisingly large and nice room
2503,Too noisy at night making it difficult to sleep
2504,"Great for a lads weekend away , close the pubs and night club (Hotel is above). We slept fine as we was out till 3am each morning anyways. There is a cafe near the traffic lights which does a good breakfast.Don’t need cash to check in anymore they just take your card details for a desposit. They also have a secure bag store if it’s too early to check in."
2505,"Needs a bit of a refurb, bath panel was hanging off for example"
2506,"Comfortable bed, great light in the room through a large window"
2507,"beds were perfect, room was great, location for a drink is perfect and taxi service is very quick, staff very helpful as well"
2508,"not that there’s anything bad about it, it’s just someone would need to research it before booking, if a couple is there for a quiet night and a good night sleep it’s never happening, I didn’t mind the noise I did know what I was getting myself into booking, and it wasn’t that bad but there’s a lot more hotels that offer a good location and a great sleep no noise, but it is what it is I personally didn’t think it was too bad."
2509,Location and staff was great.
2510,Everything is a little rundown
2511,Sea'n  the manager was great and extremely helpful. The location was great and breakfast was included.
2512,"Noise from the nearby nightclub kept us awake Thursday and Friday nights (until 2.30 am in the latter case). To be fair, there was a warning about noise, but it didn't make the volume or duration clear. Triple glazing on the bedroom windows would improve the hotel immensely."
2513,Location was perfect and the reception staff were great. Room was really nice too.
